OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,s_
OTU_2,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,Subeucalanus,s_
OTU_3,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_4,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,f_,g_,s_
OTU_5,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,g_,s_
OTU_6,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_8,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_9,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,f_,g_,s_
OTU_10,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,Metridia lucens
OTU_11,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_14,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,s_
OTU_15,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned,not assigned
OTU_16,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,s_
OTU_17,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,s_
OTU_19,Eukaryota,Arthropoda,Branchiopoda,Diplostraca,Sididae,Penilia,Penilia avirostris
OTU_21,Eukaryota,Chordata,Thaliacea,Salpida,Salpidae,Thalia,s_
OTU_22,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,g_,s_
OTU_23,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
OTU_24,Eukaryota,Cnidaria,Hydrozoa,Trachymedusae,Geryoniidae,g_,s_
OTU_26,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,f_,g_,s_
OTU_27,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Euphausia,s_
OTU_28,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,g_,s_
OTU_29,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Temoridae,Temora,s_
OTU_30,Eukaryota,Chordata,Appendicularia,unknown,Oikopleuridae,Oikopleura,Oikopleura labradoriensis
OTU_31,Eukaryota,Arthropoda,Hexanauplia,Calanoida,f_,g_,s_
