DUP_ID,UC1_COI,UC2_COI,UC3_COI,UC4_COI,UC5_COI,UC6_COI,UC7_COI,UC9_COI,UC10_COI,UC12_COI,UC13_COI,UC14_COI,UC15_COI,GOC2a_COI,GOC2b_COI,CP23_COI,UC3_2_COI,CP23_2_COI,UC3_1_COI,CP23_1_COI,NTC_2_COI
OTU_1,16133,27319,56573,25109,2636,34685,19599,31821,2832,9248,26,15,1509,13,10,5,27582,8,24681,3,0
OTU_2,92207,47639,67410,38942,22889,102186,47326,76194,3754,5745,51,373,7294,43,25,134,59346,184,27721,90,3
OTU_3,46955,6399,22019,801,9625,53,3705,0,22,4,7,0,3,0,1,0,10977,1,7705,0,1
OTU_5,4732,33244,15783,7384,12115,4743,7599,366,467,196,224,80,153,59,68,1,1643,1,5709,3,1
OTU_6,0,8,0,0,0,0,0,0,0,20,0,1,0,0,0,1530,0,80407,1,1253,0
OTU_7,0,0,0,9,0,0,0,9,0,4,7,79,0,0,0,42222,1,8135,2,47360,1
OTU_9,0,3,0,0,0,0,0,2,0,60116,2,12,1,0,0,0,0,1,0,0,0
OTU_10,0,0,37145,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,12837,0,0
OTU_11,459,1926,9858,151,2634,1387,3838,25764,551,137,254,54,43,1,2,21,958,2,3930,21,0
OTU_12,0,1,0,1,0,4,0,499,3363,11078,7876,11898,25641,125,215,3003,0,1262,0,2947,2
OTU_13,1,5,4733,5,0,0,0,3,0,0,5,23,27,0,0,14646,145,2786,1736,15159,0
OTU_14,650,553,15106,243,0,7,2228,0,4647,775,647,330,2307,0,0,0,10898,0,6007,0,0
OTU_15,0,0,0,0,23,13,280,0,8267,4406,4831,1937,2046,138,383,2768,0,1334,0,2696,0
OTU_16,0,0,0,1,1,0,0,2651,3826,2273,587,9904,26204,354,2,650,0,827,0,643,2
OTU_17,480,892,2413,22174,1386,7220,91,0,48,11,47,27,58,1,0,0,462,1,917,4,0
OTU_18,1297,225,1543,902,26816,101,15428,70,1632,0,1,0,11,0,5,0,77,0,446,0,2
OTU_19,214,1351,4265,108,1491,472,1921,18610,390,280,185,722,512,1,6,106,632,18,1658,150,0
OTU_21,488,4080,4837,25744,2608,9059,561,9,354,9,30,101,235,2,0,0,545,1,1439,2,0
OTU_22,327,550,1884,1,350,0,1492,139,7550,2500,5831,7457,1713,156,30,397,356,138,705,432,0
OTU_23,232,950,5632,25,0,0,0,0,2,0,2,0,0,0,0,0,12627,0,2195,0,0
OTU_25,0,2,0,1,0,0,0,25,1720,12941,2685,5859,1975,1575,1379,448,0,195,0,419,1
OTU_26,3,34,78,3865,788,8297,2971,8,2054,11,4,69,7,48,5,3,25,0,67,0,0
OTU_27,0,0,0,1,0,0,0,0,0,0,0,14839,348,0,0,1051,0,1,0,1432,0
OTU_28,911,396,10296,0,4468,0,32,0,1,0,6,0,3,0,0,0,1597,0,3985,0,0
OTU_31,0,0,0,0,0,0,2,0,1938,559,0,2954,51,6030,6413,400,0,187,0,293,0
OTU_32,1,85,15732,2207,335,0,12,0,7,0,9,2,0,0,0,0,1545,1,5883,0,0
OTU_33,103,62,92,183,19,2589,3650,4943,469,2885,81,14607,106,0,0,385,66,156,21,376,0
OTU_34,1141,9172,4668,1729,3864,828,2752,429,349,409,470,240,387,116,52,0,331,0,1630,0,0
OTU_35,4676,8857,7694,2936,1515,14414,1022,4501,34,582,12,0,1423,2,3,41,3318,0,2960,35,0
OTU_38,0,0,0,0,0,0,0,0,0,1,13,96,13,0,0,6069,0,2443,0,5588,0
OTU_39,779,5182,1901,39,51,84,351,5,969,33,3051,436,300,885,101,49,902,0,733,60,0
OTU_40,77,3,2267,0,12,2,5210,0,320,2,9,6009,1,137,2,0,707,1,850,0,0
OTU_42,0,0,0,0,0,0,223,1,104,0,0,2,0,446,5,6818,0,1353,0,6120,0
OTU_43,0,0,15,0,0,0,0,0,0,0,0,19,0,0,0,4763,0,1008,7,4506,0
OTU_45,153,21,131,15,8918,10,2737,1,402,0,0,0,4,1,1,0,12,0,45,0,1
OTU_46,0,1,0,1,2,0,0,0,243,2291,3675,5627,10325,14417,11324,2407,0,39,0,2091,0
OTU_47,0,0,0,0,0,0,1,0,0,0,0,0,0,422,10665,0,0,0,0,0,0
OTU_51,108,91,4748,440,26,0,263,366,3442,35,4,0,102,0,0,19,1855,2,1572,28,0
OTU_52,0,0,0,0,0,0,0,0,0,0,0,0,10038,0,0,0,0,0,0,0,0
OTU_53,123,26,87,16,8327,1,2140,4,408,0,0,0,0,0,1,0,10,0,31,0,0
OTU_54,0,612,1278,0,4851,2126,15,0,0,0,0,0,0,0,0,0,556,0,540,0,1
OTU_55,0,0,0,0,0,0,0,2,62,135,5,361,3871,208,321,6203,1,2047,0,5670,0
OTU_56,316,357,4089,7,2209,24,954,694,29,39,8,44,40,0,0,1,340,4,1603,0,1
OTU_59,974,1141,1283,1947,99,3104,1076,10,85,1,0,1,298,0,0,0,429,0,736,2,0
OTU_62,3,65,563,2,27,27,7,2096,3822,1604,3204,6754,1292,87,90,580,24,147,155,715,0
OTU_63,0,0,1,9623,2,1121,13,0,0,0,0,4,1,0,0,9,0,28,0,12,0
OTU_64,0,0,0,0,632,225,327,0,3891,1265,2599,60,93,0,0,0,1,1,0,0,0
OTU_65,0,0,0,3,0,0,0,1,1798,1477,295,4315,1552,44,0,5832,0,1664,0,5894,0
OTU_67,0,0,0,0,0,0,0,0,0,0,0,22,0,5208,5791,60,0,67,0,46,0
OTU_69,0,0,0,0,183,4,102,0,788,1351,2579,1813,871,21,773,823,0,17,0,784,0
OTU_70,132,834,272,420,685,293,512,89,463,863,887,604,1634,511,401,169,48,18,161,195,0
OTU_72,0,0,0,0,0,0,0,1,17,45,2,114,1105,54,74,1751,0,570,1,1840,0
OTU_73,0,0,5313,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1913,0,0
OTU_75,0,0,0,1,0,0,0,0,563,3884,5437,5669,11636,206,91,1313,18,885,0,1299,0
OTU_76,0,1,0,0,0,6922,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_77,0,0,1,0,0,12,0,0,60,176,5133,1643,320,73,4,83,0,1,1,65,0
OTU_79,0,0,0,0,0,0,0,2,0,12,1922,1229,6316,1425,2499,1299,0,566,0,1278,0
OTU_80,97,10,97,19,7133,7,1660,3,319,0,0,0,2,0,0,0,9,0,16,0,0
OTU_81,0,0,0,0,0,0,0,0,73,0,388,1657,1,3473,206,576,0,8,0,635,0
OTU_82,0,0,0,1,0,6881,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_83,0,0,0,0,0,18,0,0,624,584,727,791,511,803,7,1346,0,169,0,1362,0
OTU_86,0,0,0,0,0,0,0,0,0,0,0,0,6288,0,0,0,0,0,0,0,0
OTU_89,0,0,0,0,0,0,0,0,0,0,0,6367,0,0,0,0,0,0,0,0,0
OTU_90,0,0,0,2,0,0,0,0,0,1317,45,4707,689,0,6,0,0,0,0,0,0
OTU_94,156,28,1472,166,1693,220,2466,35,83,0,3,31,1,0,3,0,272,0,558,0,1
OTU_95,2278,1994,0,1284,111,42,221,0,0,1,0,1,0,0,0,0,185,0,0,0,0
OTU_96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2930,0,0,1,2716,1
OTU_100,63,14,73,8,4603,2,1306,2,271,0,0,0,1,0,1,0,11,0,6,0,1
OTU_101,0,0,0,0,0,0,0,9053,1021,0,0,57,0,0,0,6,0,610,0,0,0
