V1;V3,V4,V5,V6,V7,V8,V9
OTU_3816;['k_','p_','c_','o_','f_','g_','s_']
OTU_7705;['k_','p_','c_','o_','f_','g_','s_']
OTU_7759;['k_','p_','c_','o_','f_','g_','s_']
OTU_12020;['k_','p_','c_','o_','f_','g_','s_']
OTU_15321;['k_','p_','c_','o_','f_','g_','s_']
OTU_22158;['k_','p_','c_','o_','f_','g_','s_']
OTU_86811;['k_','p_','c_','o_','f_','g_','s_']
OTU_101440;['k_','p_','c_','o_','f_','g_','s_']
OTU_106763;['k_','p_','c_','o_','f_','g_','s_']
OTU_130760;['k_','p_','c_','o_','f_','g_','s_']
OTU_172564;['k_','p_','c_','o_','f_','g_','s_']
OTU_213418;['k_','p_','c_','o_','f_','g_','s_']
OTU_213595;['k_','p_','c_','o_','f_','g_','s_']
OTU_225716;['k_','p_','c_','o_','f_','g_','s_']
OTU_308075;['k_','p_','c_','o_','f_','g_','s_']
OTU_360716;['k_','p_','c_','o_','f_','g_','s_']
OTU_363644;['k_','p_','c_','o_','f_','g_','s_']
OTU_365946;['k_','p_','c_','o_','f_','g_','s_']
OTU_374991;['k_','p_','c_','o_','f_','g_','s_']
OTU_7562;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_21492;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_24323;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_48796;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_54369;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_89203;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_92223;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_116900;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_124249;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_131424;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_140276;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_185829;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_209532;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_266292;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_268004;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_281135;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_307673;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_309611;['Eukaryota','p_','c_','o_','f_','g_','s_']
OTU_3450;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_15256;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_17973;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_36403;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_40750;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_93406;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_106937;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_155623;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_155641;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_158001;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_210358;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_228041;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_316818;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_363606;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_365947;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_365957;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_368916;['Eukaryota', 'Bacillariophyta','c_','o_','f_','g_','s_']
OTU_12806;['Eukaryota', 'Bacillariophyta', 'Coscinodiscophyceae', 'Thalassiosirales', 'Skeletonemataceae', 'Skeletonema','s_']
OTU_18466;['Eukaryota', 'Bacillariophyta', 'Coscinodiscophyceae', 'Thalassiosirales', 'Skeletonemataceae', 'Skeletonema','s_']
OTU_18817;['Eukaryota', 'Bacillariophyta', 'Coscinodiscophyceae', 'Thalassiosirales', 'Skeletonemataceae', 'Skeletonema','s_']
OTU_376831;['Eukaryota', 'Bacillariophyta', 'Coscinodiscophyceae', 'Thalassiosirales', 'Skeletonemataceae', 'Skeletonema','s_']
OTU_22521;['Eukaryota', 'Bacillariophyta', 'Bacillariophyceae', 'Bacillariales', 'Bacillariaceae', 'Cylindrotheca', 'Cylindrotheca closterium']
OTU_149;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_839;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_955;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_2329;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_4550;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_6202;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
OTU_7491;['Eukaryota', 'unknown', 'Dinophyceae','o_','f_','g_','s_']
