#DUP_ID	UC1_COI	UC2_COI	UC3_COI	UC4_COI	UC5_COI	UC6_COI	UC7_COI	UC9_COI	UC10_COI	UC12_COI	UC13_COI	UC14_COI	UC15_COI	GOC2a_COI	GOC2b_COI	CP23_COI	UC3_2_COI	CP23_2_COI	UC3_1_COI	CP23_1_COI	NTC_2_COI	taxonomy
OTU_1	16133	27319	56573	25109	2636	34685	19599	31821	2832	9248	26	15	1509	13	10	5	27582	8	24681	3	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Calanidae; g__Calanus; s__Calanus pacificus
OTU_2	92207	47639	67410	38942	22889	102186	47326	76194	3754	5745	51	373	7294	43	25	134	59346	184	27721	90	3	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Calanidae; g__Calanus; s__Calanus pacificus
OTU_3	46955	6399	22019	801	9625	53	3705	0	22	4	7	0	3	0	1	0	10977	1	7705	0	1	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Euphausia; s__Euphausia pacifica
OTU_5	4732	33244	15783	7384	12115	4743	7599	366	467	196	224	80	153	59	68	1	1643	1	5709	3	1	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Clausocalanidae; g__Clausocalanus; s__Clausocalanus furcatus
OTU_6	0	8	0	0	0	0	0	0	0	20	0	1	0	0	0	1530	0	80407	1	1253	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Athorybiidae; g__Athorybia; s__Athorybia rosacea
OTU_7	0	0	0	9	0	0	0	9	0	4	7	79	0	0	0	42222	1	8135	2	47360	1	k__Eukaryota; p__Arthropoda; c__Branchiopoda; o__Diplostraca; f__Sididae; g__Penilia; s__Penilia avirostris
OTU_9	0	3	0	0	0	0	0	2	0	60116	2	12	1	0	0	0	0	1	0	0	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Agalmatidae; g__Halistemma; s__Halistemma sp. 1 BO-2009
OTU_10	0	0	37145	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	12837	0	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Anthoathecata; f__Pandeidae; g__Pandea; s__Pandea conica
OTU_11	459	1926	9858	151	2634	1387	3838	25764	551	137	254	54	43	1	2	21	958	2	3930	21	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Calanidae; g__Ctenocalanus; s__Ctenocalanus vanus
OTU_12	0	1	0	1	0	4	0	499	3363	11078	7876	11898	25641	125	215	3003	0	1262	0	2947	2	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida;f__;g__;s__
OTU_13	1	5	4733	5	0	0	0	3	0	0	5	23	27	0	0	14646	145	2786	1736	15159	0	k__Eukaryota; p__Arthropoda; c__Branchiopoda; o__Diplostraca; f__Sididae; g__Penilia; s__Penilia avirostris
OTU_14	650	553	15106	243	0	7	2228	0	4647	775	647	330	2307	0	0	0	10898	0	6007	0	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida;f__;g__;s__
OTU_15	0	0	0	0	23	13	280	0	8267	4406	4831	1937	2046	138	383	2768	0	1334	0	2696	0	k__Eukaryota; p__Arthropoda; c__Hexanauplia; o__Calanoida; f__Eucalanidae; g__Pareucalanus; s__Pareucalanus sewelli
OTU_16	0	0	0	1	1	0	0	2651	3826	2273	587	9904	26204	354	2	650	0	827	0	643	2	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Euphausia; s__Euphausia eximia
OTU_17	480	892	2413	22174	1386	7220	91	0	48	11	47	27	58	1	0	0	462	1	917	4	0	k__Eukaryota; p__Cnidaria; c__Hydrozoa; o__Siphonophorae; f__Diphyidae; g__Lensia; s__Lensia campanella
OTU_18	1297	225	1543	902	26816	101	15428	70	1632	0	1	0	11	0	5	0	77	0	446	0	2	k__Eukaryota; p__Arthropoda; c__Malacostraca; o__Euphausiacea; f__Euphausiidae; g__Nematoscelis; s__Nematoscelis difficilis
