#OTU_ID	taxonomy
OTU_3816	k__,p__,c__,o__,f__,g__,s__
OTU_7705	k__,p__,c__,o__,f__,g__,s__
OTU_7759	k__,p__,c__,o__,f__,g__,s__
OTU_12020	k__,p__,c__,o__,f__,g__,s__
OTU_15321	k__,p__,c__,o__,f__,g__,s__
OTU_22158	k__,p__,c__,o__,f__,g__,s__
OTU_86811	k__,p__,c__,o__,f__,g__,s__
OTU_101440	k__,p__,c__,o__,f__,g__,s__
OTU_106763	k__,p__,c__,o__,f__,g__,s__
OTU_130760	k__,p__,c__,o__,f__,g__,s__
OTU_172564	k__,p__,c__,o__,f__,g__,s__
OTU_213418	k__,p__,c__,o__,f__,g__,s__
OTU_213595	k__,p__,c__,o__,f__,g__,s__
OTU_225716	k__,p__,c__,o__,f__,g__,s__
OTU_308075	k__,p__,c__,o__,f__,g__,s__
OTU_360716	k__,p__,c__,o__,f__,g__,s__
OTU_363644	k__,p__,c__,o__,f__,g__,s__
OTU_365946	k__,p__,c__,o__,f__,g__,s__
OTU_374991	k__,p__,c__,o__,f__,g__,s__
OTU_7562	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_21492	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_24323	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_48796	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_54369	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_89203	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_92223	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_116900	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_124249	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_131424	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_140276	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_185829	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_209532	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_266292	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_268004	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_281135	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_307673	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_309611	k__Eukaryota,p__,c__,o__,f__,g__,s__
OTU_3450	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_15256	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_17973	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_36403	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_40750	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_93406	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_106937	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_155623	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_155641	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_158001	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_210358	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_228041	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_316818	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_363606	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_365947	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_365957	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_368916	k__Eukaryota, p__Bacillariophyta,c__,o__,f__,g__,s__
OTU_12806	k__Eukaryota, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Skeletonemataceae, g__Skeletonema,s__
OTU_18466	k__Eukaryota, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Skeletonemataceae, g__Skeletonema,s__
OTU_18817	k__Eukaryota, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Skeletonemataceae, g__Skeletonema,s__
OTU_376831	k__Eukaryota, p__Bacillariophyta, c__Coscinodiscophyceae, o__Thalassiosirales, f__Skeletonemataceae, g__Skeletonema,s__
OTU_22521	k__Eukaryota, p__Bacillariophyta, c__Bacillariophyceae, o__Bacillariales, f__Bacillariaceae, g__Cylindrotheca, s__Cylindrotheca closterium
OTU_149	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_839	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_955	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_2329	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_4550	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_6202	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_7491	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
OTU_8431	k__Eukaryota, p__unknown, c__Dinophyceae,o__,f__,g__,s__
