DUP_23;size=21665	
DUP_476;size=1016	
DUP_555;size=947	
DUP_819;size=631	
DUP_826;size=1289	
DUP_1041;size=780	
DUP_1202;size=721	
DUP_1320;size=353	
DUP_1476;size=357	
DUP_1624;size=284	
DUP_2033;size=241	
DUP_2124;size=189	
DUP_2679;size=156	
DUP_2853;size=173	
DUP_2859;size=250	
DUP_2861;size=255	
DUP_2903;size=156	
DUP_2945;size=160	
DUP_3259;size=139	
DUP_3800;size=111	
DUP_4752;size=95	
DUP_5146;size=92	
DUP_5281;size=74	
DUP_5527;size=77	
DUP_5552;size=82	
DUP_5576;size=124	
DUP_5674;size=415	
DUP_5810;size=120	
DUP_6551;size=72	
DUP_6771;size=64	
DUP_7278;size=116	
DUP_7354;size=60	
DUP_7558;size=71	
DUP_7994;size=52	
DUP_8136;size=52	
DUP_8158;size=68	
DUP_8334;size=95	
DUP_8418;size=61	
DUP_8506;size=57	
DUP_8606;size=67	
DUP_8686;size=41	
DUP_8698;size=43	
DUP_8947;size=45	
DUP_9328;size=80	
DUP_9507;size=38	
DUP_9766;size=39	
DUP_9803;size=43	
DUP_10089;size=92	
DUP_10509;size=67	
DUP_11384;size=34	
DUP_12475;size=31	
DUP_12922;size=58	
DUP_13022;size=37	
DUP_14484;size=31	
DUP_16025;size=25	
DUP_17435;size=22	
DUP_17448;size=34	
DUP_17504;size=51	
DUP_17693;size=25	
DUP_17964;size=24	
DUP_18472;size=18	
DUP_18822;size=18	
DUP_18979;size=28	
DUP_20861;size=22	
DUP_22133;size=16	
DUP_22266;size=15	
DUP_22520;size=43	
DUP_22869;size=49	
DUP_24703;size=27	
DUP_24928;size=14	
DUP_25716;size=14	
DUP_25734;size=33	
DUP_25888;size=14	
DUP_27120;size=15	
DUP_28867;size=12	
DUP_29150;size=15	
DUP_29476;size=17	
DUP_30914;size=16	
DUP_30915;size=21	
DUP_31932;size=23	
DUP_32329;size=20	
DUP_33632;size=13	
DUP_34077;size=12	
DUP_34674;size=10	
DUP_35332;size=10	
DUP_36629;size=19	
DUP_38077;size=9	
DUP_38096;size=11	
DUP_38764;size=9	
DUP_39000;size=9	
DUP_42526;size=9	
DUP_42527;size=9	
DUP_43280;size=14	
DUP_43281;size=11	
DUP_43696;size=8	
DUP_44061;size=8	
DUP_44572;size=10	
DUP_44636;size=10	
DUP_45289;size=8	
DUP_45358;size=10	
DUP_45753;size=10	
DUP_46268;size=8	
DUP_49068;size=8	
DUP_49850;size=9	
DUP_49866;size=13	
DUP_50808;size=7	
DUP_51003;size=7	
DUP_52740;size=9	
DUP_52753;size=7	
DUP_53957;size=7	
DUP_55078;size=9	
DUP_57149;size=9	
DUP_57475;size=9	
DUP_57632;size=7	
DUP_58197;size=7	
DUP_58317;size=6	
DUP_58651;size=6	
DUP_60009;size=6	
DUP_60125;size=6	
DUP_60875;size=6	
DUP_62379;size=6	
DUP_62403;size=6	
DUP_63269;size=8	
DUP_64005;size=8	
DUP_64081;size=10	
DUP_64106;size=9	
DUP_64167;size=6	
DUP_64249;size=6	
DUP_69107;size=6	
DUP_70066;size=6	
DUP_70252;size=5	
DUP_70599;size=21	
DUP_70676;size=5	
DUP_70868;size=9	
DUP_70883;size=9	
DUP_71853;size=5	
DUP_72715;size=5	
DUP_72903;size=5	
DUP_73166;size=5	
DUP_76594;size=5	
DUP_76891;size=7	
DUP_77024;size=5	
DUP_77258;size=5	
DUP_86554;size=7	
DUP_86555;size=5	
DUP_86746;size=7	
DUP_86802;size=7	
DUP_87572;size=5	
DUP_87812;size=5	
DUP_87860;size=21	
DUP_88549;size=4	
DUP_88800;size=4	
DUP_88973;size=4	
DUP_88990;size=4	
DUP_88991;size=4	
DUP_89274;size=4	
DUP_89275;size=4	
DUP_92512;size=4	
DUP_93624;size=6	
DUP_93659;size=7	
DUP_94127;size=10	
DUP_94839;size=4	
DUP_97318;size=6	
DUP_97429;size=6	
DUP_98814;size=4	
DUP_99342;size=4	
DUP_99658;size=4	
DUP_99659;size=10	
DUP_99668;size=4	
DUP_103155;size=4	
DUP_115132;size=4	
DUP_115490;size=6	
DUP_116530;size=4	
DUP_117603;size=5	
DUP_117604;size=3	
DUP_118277;size=5	
DUP_118740;size=3	
DUP_118798;size=3	
DUP_118887;size=6	
DUP_118931;size=5	
DUP_119084;size=3	
DUP_119233;size=5	
DUP_119316;size=3	
DUP_119395;size=3	
DUP_119399;size=3	
DUP_119422;size=3	
DUP_119634;size=5	
DUP_119635;size=6	
DUP_119835;size=3	
DUP_119862;size=5	
DUP_120053;size=3	
DUP_120054;size=3	
DUP_120057;size=3	
DUP_120060;size=5	
DUP_120063;size=3	
DUP_123363;size=6	
DUP_124246;size=5	
DUP_124974;size=3	
DUP_126452;size=3	
DUP_127045;size=3	
DUP_128098;size=3	
DUP_129376;size=3	
DUP_129377;size=3	
DUP_129386;size=3	
DUP_129460;size=3	
DUP_129461;size=9	
DUP_130519;size=3	
DUP_131209;size=7	
DUP_136793;size=6	
DUP_136795;size=3	
DUP_137298;size=5	
DUP_138311;size=3	
DUP_140292;size=3	
DUP_140293;size=5	
DUP_140724;size=3	
DUP_140829;size=3	
DUP_140848;size=3	
DUP_141041;size=5	
DUP_141240;size=3	
DUP_141358;size=3	
DUP_141755;size=3	
DUP_141826;size=3	
DUP_141868;size=3	
DUP_142074;size=3	
DUP_142083;size=5	
DUP_143022;size=3	
DUP_143390;size=3	
DUP_146640;size=5	
DUP_148329;size=5	
DUP_148330;size=5	
DUP_148706;size=3	
DUP_149004;size=3	
DUP_149172;size=5	
DUP_149271;size=3	
DUP_149280;size=3	
DUP_152599;size=3	
DUP_167743;size=3	
DUP_167744;size=3	
DUP_169177;size=3	
DUP_169191;size=3	
DUP_169205;size=5	
DUP_170017;size=3	
DUP_171388;size=3	
DUP_171697;size=3	
DUP_172193;size=3	
DUP_172216;size=5	
DUP_172631;size=6	
DUP_172793;size=5	
DUP_175030;size=5	
DUP_175218;size=5	
DUP_175647;size=3	
DUP_175665;size=3	
DUP_175997;size=3	
DUP_177304;size=2	
DUP_177442;size=6	
DUP_177584;size=2	
DUP_177585;size=2	
DUP_177712;size=2	
DUP_177927;size=2	
DUP_177928;size=2	
DUP_177957;size=2	
DUP_178055;size=2	
DUP_178203;size=2	
DUP_178239;size=2	
DUP_178568;size=2	
DUP_178602;size=2	
DUP_178603;size=2	
DUP_178715;size=2	
DUP_178736;size=2	
DUP_178853;size=2	
DUP_179076;size=2	
DUP_179271;size=2	
DUP_179405;size=2	
DUP_179472;size=2	
DUP_180120;size=2	
DUP_180121;size=2	
DUP_180179;size=2	
DUP_180443;size=2	
DUP_180470;size=2	
DUP_180471;size=2	
DUP_180551;size=2	
DUP_180863;size=2	
DUP_180879;size=2	
DUP_180908;size=2	
DUP_180923;size=2	
DUP_181198;size=2	
DUP_181339;size=2	
DUP_181553;size=2	
DUP_181626;size=2	
DUP_181843;size=2	
DUP_181847;size=2	
DUP_181849;size=2	
DUP_181850;size=2	
DUP_182246;size=2	
DUP_182267;size=2	
DUP_182410;size=2	
DUP_182450;size=4	
DUP_182475;size=6	
DUP_182551;size=2	
DUP_182557;size=2	
DUP_182591;size=2	
DUP_182679;size=2	
DUP_182897;size=2	
DUP_182898;size=2	
DUP_182923;size=2	
DUP_183091;size=2	
DUP_183170;size=2	
DUP_183238;size=2	
DUP_183286;size=2	
DUP_183454;size=2	
DUP_183682;size=2	
DUP_183686;size=2	
DUP_183694;size=2	
DUP_183861;size=2	
