,UC1,UC2,UC3,UC4,UC5,UC6,UC7,UC9,UC10,UC12,UC13,UC14,UC15,GOC2a,GOC2b,CP23,UC3_2,CP23_2,UC3_1,CP23_1,NTC_2
OTU_1,16133,27319,56573,25109,2636,34685,19599,31821,2832,9248,26,15,1509,13,10,5,27582,8,24681,3,0
OTU_10,0,0,37145,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,12837,0,0
OTU_100,62,13,72,7,4602,1,1305,1,270,0,0,0,0,0,0,0,10,0,5,0,0
OTU_100021,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_100022,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100028,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100029,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
OTU_100063,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
OTU_100086,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100089,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
OTU_10009,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1001,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0
OTU_100290,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
OTU_100298,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1003,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0
OTU_100300,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100301,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
OTU_100305,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100307,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
OTU_100319,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100394,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,115,0,239,0,57,0
OTU_10044,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10046,0,0,0,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,27,0
OTU_10048,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1005,0,0,0,0,0,0,0,0,0,0,0,0,9,164,154,79,0,8,0,81,0
OTU_100524,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_10056,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
OTU_10057,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,0,4,0,26,0
OTU_100586,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
OTU_100587,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
OTU_1007,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0
OTU_100725,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_100728,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
