"","UC1","UC2","UC3","UC4","UC5","UC6","UC7","UC9","UC10","UC12","UC13","UC14","UC15","GOC2a","GOC2b","CP23","UC3_2","CP23_2","UC3_1","CP23_1"
"OTU_1",17613,19625,13772,14625,8622,19224,13512,16362,1179,3922,0,149,3134,0,0,198,16922,504,14003,191
"OTU_10",1556,1657,2328,53,1817,108,1116,72,0,0,1,0,0,0,0,0,1278,0,2089,0
"OTU_100",100,42,27,40,226,5,191,1,52,3,3,3,5,0,7,12,9,0,35,2
"OTU_100035",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_100038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_100042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_100049",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_100051",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_100052",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_100053",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_100058",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_100059",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_100060",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_100065",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_100102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_100186",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_100204",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_100206",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_100211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_100221",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_100236",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_100251",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_100255",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_100259",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_100267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"OTU_100272",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_100285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_100290",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_100305",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_100312",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_100326",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_100335",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"OTU_100336",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_100338",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
