"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU_1","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","Calanus pacificus"
"OTU_10","Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Pandea","s_"
"OTU_100","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nematoscelis","s_"
"OTU_100021","Eukaryota","Mollusca","Gastropoda","unknown","Cerithiidae","g_","s_"
"OTU_100022","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_100028","Eukaryota","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","g_","s_"
"OTU_100029","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_100062","","","","","","",""
"OTU_100063","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Pontellidae","Pontellina","s_"
"OTU_100086","","","","","","",""
"OTU_100089","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_10009","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","Calanus pacificus"
"OTU_1001","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Eucalanus","s_"
"OTU_100290","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","Metridia lucens"
"OTU_100298","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Tortanidae","g_","s_"
"OTU_1003","Eukaryota","p_","c_","o_","f_","g_","s_"
"OTU_100300","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_100301","","","","","","",""
"OTU_100305","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_100307","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_100319","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea scottodicarloi"
"OTU_100394","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","Thysanoessa gregaria"
"OTU_1004","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Sagitta","s_"
"OTU_10044","Eukaryota","unknown","Dinophyceae","Syndiniales","Syndiniaceae","g_","s_"
"OTU_10046","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Centropagidae","g_","s_"
"OTU_10047","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","g_","s_"
"OTU_10048","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Eucalanus","s_"
"OTU_1005","Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Bursidae","g_","s_"
"OTU_100524","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","Agalma","Agalma elegans"
"OTU_10056","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paralepididae","Lestidiops","Lestidiops neles"
"OTU_10057","Eukaryota","Cnidaria","Hydrozoa","Trachymedusae","Halicreatidae","g_","s_"
"OTU_100586","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","Agalma","s_"
"OTU_100587","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","Agalma","s_"
"OTU_1007","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","Eucalanus","Eucalanus subtenuis"
"OTU_100725","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_100728","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","s_"
"OTU_100730","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","s_"
"OTU_100731","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","s_"
"OTU_100733","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","s_"
"OTU_100741","Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","s_"
"OTU_1008","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Eucalanidae","g_","s_"
"OTU_100813","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calocalanidae","g_","s_"
"OTU_100814","Eukaryota","p_","c_","o_","f_","g_","s_"
"OTU_100857","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_100859","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_10086","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_100862","","","","","","",""
"OTU_100885","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","g_","s_"
"OTU_10089","not assigned","not assigned","not assigned","not assigned","not assigned","g_","s_"
"OTU_100904","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","g_","s_"
"OTU_100910","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","g_","s_"
"OTU_10093","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Sagitta","Sagitta enflata"
"OTU_10095","Eukaryota","Arthropoda","Hexanauplia","Calanoida","f_","g_","s_"
"OTU_100978","Eukaryota","Mollusca","Gastropoda","Thecosomata","Cavoliniidae","Hyalocylis","Hyalocylis striata"
"OTU_100982","Eukaryota","Echinodermata","c_","o_","f_","g_","s_"
"OTU_100988","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_101","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes","Nyctiphanes simplex"
"OTU_10101","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Sagitta","s_"
"OTU_101059","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","g_","s_"
"OTU_10109","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Sagitta","Sagitta enflata"
"OTU_101165","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Sagitta","s_"
"OTU_101166","Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Sagitta","Sagitta enflata"
"OTU_101184","Eukaryota","Echinodermata","Ophiuroidea","Ophiurida","Ophiactidae","Ophiactis","Ophiactis sp. TH-2010"
"OTU_101259","Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Paraconchoecia","Paraconchoecia allotherium"
"OTU_101267","Eukaryota","unknown","Dinophyceae","Syndiniales","Syndiniaceae","g_","s_"
"OTU_101270","","","","","","",""
"OTU_101271","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","g_","s_"
"OTU_101273","","","","","","",""
"OTU_101274","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae","g_","s_"
"OTU_101281","Eukaryota","unknown","Dinophyceae","Syndiniales","Syndiniaceae","g_","s_"
"OTU_101284","","","","","","",""
"OTU_101286","","","","","","",""
"OTU_101288","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_101290","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Euphausia","Euphausia diomedeae"
"OTU_101429","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_101431","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_101432","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_101433","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_101434","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_101436","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_101439","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","g_","s_"
"OTU_101440","not assigned","not assigned","not assigned","not assigned","not assigned","g_","s_"
"OTU_101441","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","g_","s_"
"OTU_101442","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Euchaetidae","g_","s_"
"OTU_101444","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","Oncaea","s_"
"OTU_101446","Eukaryota","Arthropoda","Hexanauplia","Poecilostomatoida","Oncaeidae","g_","s_"
"OTU_10145","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Euchaetidae","g_","s_"
"OTU_10146","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","g_","s_"
"OTU_101467","Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes","Nyctiphanes simplex"
"OTU_101475","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Forskaliidae","g_","s_"
"OTU_101484","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Aetideidae","g_","s_"
"OTU_10154","Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Athorybiidae","Athorybia","Athorybia rosacea"
"OTU_10156","Eukaryota","Arthropoda","Hexanauplia","Calanoida","Euchaetidae","g_","s_"
"OTU_10157","Eukaryota","Annelida","Polychaeta","Spionida","Spionidae","g_","s_"
