#OTU ID,CP23_1,CP23,CP23_2,GOC2a,UC10,UC1,UC12,UC13,UC14,UC15,UC2,UC3_1,UC3,UC3_2,UC4,UC5,UC6,UC7,UC9
OTU_1,1,1,0,0,58,64,0,0,1,0,21,13,22,7,22,768,5,260,1
OTU_10,21,23,35,1,0,0,222,4,0,6,3,676,616,2689,21,18,618,619,0
OTU_100,1,0,0,2,0,0,0,0,0,0,0,2,2,2,248,0,4,1,0
OTU_101,0,0,0,0,0,3,0,0,0,0,1,2,5,1,0,48,0,19,0
OTU_102,0,1,0,0,0,0,0,0,0,3,0,13,16,5,37,15,3,4,0
OTU_103,4420,5287,2971,321,3,0,291,14,256,2745,0,2,2,0,1,0,0,0,1
OTU_104,0,0,0,0,1,3,0,0,0,0,2,0,3,2,0,54,0,14,0
OTU_105,0,0,0,1,403,0,14,6,25,3,0,3,4,2,0,77,10,259,0
OTU_106,1,0,1,0,0,123,4,0,0,2,188,120,144,94,6,80,11,66,12
OTU_107,0,0,0,11,301,0,2,32,57,4,1,6,2,7,0,66,5,251,0
OTU_108,0,0,0,183,0,0,0,0,0,19,1,0,1,0,0,0,1,0,3
OTU_109,1,1,0,72,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0
OTU_11,1102,1023,1984,5358,1478,670,3379,4250,4228,1537,475,686,534,212,93,751,235,427,433
OTU_110,33,35,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_111,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,36,0,10,0
OTU_112,0,0,0,0,43,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_113,43,40,48,383,0,0,1,2,0,38,0,0,0,0,0,4,0,0,0
OTU_114,0,0,0,0,0,0,0,0,0,0,0,125,96,61,7,1,0,0,0
OTU_115,17,18,10,15,19,0,9,33,15,19,0,0,0,0,1,1,6,0,0
OTU_116,2,1,1,0,53,1,0,0,0,0,0,1,3,3,0,4,0,0,0
OTU_117,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU_118,271,243,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_119,43,44,6,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
OTU_12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1629,4,1
OTU_120,61,70,3,0,1,0,3,1,29,6,0,0,0,1,0,0,0,0,0
OTU_121,0,0,0,0,3,6,0,0,0,0,2,1,1,0,0,82,0,23,0
OTU_122,4,6,1,0,35,46,0,1,3,0,16,3,6,2,12,411,2,144,0
OTU_123,40,48,423,40,512,197,5,10,90,34,61,26,22,25,10,162,3,94,4860
OTU_124,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_125,1132,1087,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_126,0,0,0,0,2,2,0,0,0,0,1,0,0,0,3,18,0,10,0
OTU_127,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,59,1,19,0
OTU_128,52,60,12,29,49,0,1,94,28,19,0,0,0,0,0,0,0,0,0
OTU_129,5,6,1,125,8,0,36,374,84,44,0,0,0,0,1,0,2,23,0
OTU_13,9,15,1,47,40,0,34,84,38,31,13,10,11,9,40,66,24,81,102
OTU_130,0,0,0,0,5,5,0,0,1,0,4,5,5,2,2,69,1,26,0
OTU_131,54,46,36,167,0,0,0,0,4,31,0,0,0,2,25,5,0,79,0
OTU_132,0,0,0,0,7,15,0,0,0,0,4,2,2,1,3,107,3,48,1
OTU_133,0,0,0,0,3,0,1,8,0,0,0,1,1,0,6,2,12,5,68
OTU_134,23,18,60,2,79,1402,322,1,19,175,1091,807,725,867,1148,1397,1197,1019,1254
OTU_135,0,0,0,0,0,1,0,0,0,0,0,10,9,129,0,17,0,2,0
OTU_136,0,0,0,0,37,4,2,12,1,7,2,26,20,20,1,0,0,3,0
OTU_137,251,262,0,0,0,0,0,0,0,588,0,0,0,0,0,0,0,0,0
OTU_138,0,0,0,0,3,1,0,0,0,0,3,0,3,0,0,27,0,11,0
OTU_139,0,0,0,0,1,72,0,0,0,0,55,15,15,18,259,40,38,5,1
OTU_14,132,146,55,132,1852,0,30,786,117,31,20,1,3,5,3,0,17,23,0
OTU_140,72,72,4,30,24,0,5,26,15,3200,2,2,0,1,4,3,1,0,0
OTU_141,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,736,0,0
OTU_142,2,5,1,41,4,0,9,36,16,11,0,0,0,0,1,1,0,1,2
OTU_143,11753,12047,7782,11267,1781,10834,1025,1060,5031,2867,2668,834,900,1128,85,1362,9,628,655
OTU_144,0,0,0,0,56,0,639,143,2,596,0,0,0,0,0,0,0,0,0
OTU_145,0,1,2,4,0,0,2,2,2,1,0,0,0,0,0,331,2,0,0
OTU_146,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,116,0,0
OTU_147,0,1,4,1,4,4,2,2,1,2,3,17,13,43,2,0,0,3,0
OTU_148,0,0,0,2567,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_149,0,0,0,0,0,175,0,0,0,0,127,82,67,665,7,0,0,0,5
OTU_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,706,38,1
OTU_150,169,184,74,36,14,0,0,20,58,41,0,0,0,0,0,0,0,2,0
OTU_151,59,51,73,0,2,0,2,3,4,0,0,0,0,0,0,0,0,0,0
OTU_152,1,0,0,0,3,0,9,168,0,0,0,0,0,0,0,1,0,0,0
OTU_153,0,0,0,1,107,0,4,40,0,11,0,0,0,0,0,0,2,48,1
OTU_154,0,0,0,3,0,428,2,1,0,0,91,4,9,33,46,0,0,1,0
OTU_155,0,0,0,0,4,4,0,0,0,0,1,0,0,0,2,55,0,26,0
OTU_156,41,62,113,248,6,0,29,596,31,46,0,0,0,0,0,2,0,0,0
OTU_157,0,0,0,0,0,0,0,0,0,0,0,77,67,0,0,0,0,0,0
OTU_158,19,25,13,0,85,68,0,2,7,1,37,11,21,8,103,876,10,364,120
OTU_159,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,22,0,6,0
OTU_16,0,0,0,0,18,28,0,0,0,0,11,1,7,2,15,363,1,118,0
OTU_160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0
OTU_161,2,1,1,0,0,0,5,5,23,1,0,0,0,0,0,0,0,0,92
OTU_162,8,13,5,61,12,0,0,1,34,83,0,0,0,0,0,0,0,0,0
OTU_163,10,13,15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU_164,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_165,2,6,0,0,172,0,0,16,0,0,9,0,1,3,0,0,0,2,0
OTU_166,6,2,2,0,0,0,0,0,0,0,0,2,5,8,0,0,1,0,1
OTU_167,17,22,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
OTU_168,1763,1854,807,490,0,0,1,0,593,73,0,0,0,0,0,0,0,0,0
