#OTU ID,CP23_1,CP23_2,CP23,GOC2a,GOC2b,UC10,UC12,UC13,UC14,UC15,UC1,UC2,UC3_1,UC3_2,UC3,UC4,UC5,UC6,UC7,UC9
OTU_1,354,101,408,15102,11940,316,2355,2994,2301,7341,0,0,0,0,0,0,0,0,1,0
OTU_10,3028,1813,2980,194,244,3798,11160,14125,9808,23360,0,0,0,26,0,3,0,27,0,406
OTU_100,305,241,389,61,0,304,13,330,5,74,0,0,0,0,0,0,0,0,0,0
OTU_1000,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1001,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_1002,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0
OTU_1003,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1004,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1005,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1006,17,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1007,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
OTU_1008,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1009,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101,194,59,213,88,287,1,118,99,792,158,0,0,0,0,0,0,0,0,0,0
OTU_1010,3,0,4,18,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
OTU_1011,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1012,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0
OTU_1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
OTU_1014,0,0,0,45,38,0,5,28,20,37,0,0,0,0,0,0,0,0,0,0
OTU_1015,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
OTU_1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0
OTU_1017,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0
OTU_1018,0,0,0,2,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
OTU_1019,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,11,0,0,0
