#OTU ID,CP23_1,CP23,CP23_2,GOC2a,GOC2b,UC10,UC1,UC12,UC13,UC14,UC15,UC2,UC3_1,UC3,UC3_2,UC4,UC5,UC6,UC7,UC9
OTU_1,1,6,0,0,0,104,157,0,0,2,0,32,22,38,17,29,1615,8,521,4
OTU_10,40,51,56,1,2,0,0,329,9,0,7,4,988,1404,5919,38,31,1306,1282,0
OTU_100,1,0,0,2,0,0,0,0,0,0,0,0,4,5,2,328,0,6,2,0
OTU_101,0,0,0,0,0,3,11,0,0,0,0,2,2,7,1,0,95,0,40,1
OTU_102,1,1,0,0,0,2,0,0,0,0,4,0,18,24,17,50,35,18,12,0
OTU_103,8177,11517,4915,321,154,10,0,418,23,339,3594,0,2,2,1,1,0,0,0,1
OTU_104,0,0,0,0,0,4,5,0,0,0,0,3,1,3,2,0,100,0,25,0
OTU_105,0,0,0,1,0,758,0,16,9,35,3,0,3,7,9,0,159,14,543,0
OTU_106,2,0,1,0,0,0,292,4,0,1,2,280,179,322,222,8,182,20,130,17
OTU_107,0,0,0,11,86,552,0,4,47,73,4,1,8,5,16,0,127,8,510,0
OTU_108,0,0,0,183,3,0,1,0,0,0,24,3,0,3,0,0,1,1,2,4
OTU_109,1,2,0,72,29,0,0,0,3,2,0,0,0,2,1,0,4,0,0,0
OTU_11,2065,2245,3368,5358,3448,2843,1423,4794,5944,5723,2039,799,1037,1181,467,143,1602,451,850,851
OTU_110,59,85,53,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_111,0,0,0,0,0,4,6,0,0,0,0,3,1,3,0,1,78,0,21,0
OTU_112,0,0,0,0,0,81,0,7,0,0,0,0,0,0,0,0,0,0,0,0
OTU_113,85,86,87,383,305,0,0,1,3,0,52,0,0,0,0,0,8,0,0,0
OTU_114,0,0,0,0,0,0,0,0,0,0,0,0,180,233,135,9,3,1,0,0
OTU_115,35,35,17,15,4,35,0,11,49,21,22,0,0,0,0,1,5,9,0,0
OTU_116,5,3,3,0,0,107,2,0,0,0,0,0,1,3,4,0,6,0,0,0
OTU_117,0,0,0,4,478,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
OTU_118,484,535,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_119,82,81,10,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
OTU_12,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,3305,9,1
OTU_120,100,138,4,0,1,1,0,3,4,41,8,0,0,0,2,0,0,0,0,0
OTU_121,0,0,0,0,0,4,17,0,0,0,0,3,3,1,0,0,154,0,48,0
OTU_122,8,11,2,0,3,49,104,0,2,3,0,28,4,13,5,13,867,2,308,1
OTU_123,87,103,664,40,30,946,439,7,13,121,44,96,32,47,58,14,361,3,178,9357
OTU_124,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_125,2109,2405,16,0,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0
OTU_126,0,0,0,0,0,3,4,0,0,0,0,2,0,1,0,3,47,0,19,0
OTU_127,0,0,0,0,0,5,3,0,0,0,0,2,1,0,0,0,107,1,34,0
OTU_128,96,127,19,29,9,95,0,1,124,40,23,0,0,0,0,0,0,0,0,0
OTU_129,11,15,5,125,69,14,0,50,537,113,59,0,0,0,0,1,0,6,45,0
OTU_13,20,25,1,47,33,75,0,53,124,50,34,24,14,21,21,54,142,53,161,180
OTU_130,0,0,0,0,0,11,20,0,0,1,0,5,10,9,4,2,168,3,46,0
OTU_131,103,100,53,167,230,1,0,0,0,4,43,0,0,1,2,35,8,0,163,0
OTU_132,0,0,0,0,0,16,28,0,0,0,0,9,4,3,1,5,221,5,97,1
OTU_133,0,0,0,0,1,4,0,2,8,0,0,0,2,2,1,7,6,26,9,118
OTU_134,44,42,108,2,1,164,3086,431,1,26,220,1715,1205,1632,2001,1636,3025,2361,2100,2334
OTU_135,0,0,0,0,0,0,3,0,0,0,0,0,10,23,307,0,29,0,5,0
OTU_136,0,0,0,0,0,65,5,4,14,1,10,5,37,46,38,3,0,0,9,0
OTU_137,491,612,0,0,0,0,0,0,0,0,738,0,0,0,0,0,0,0,0,0
OTU_138,0,0,0,0,0,6,7,0,0,0,0,4,0,5,0,1,54,0,34,0
OTU_139,0,0,0,0,0,1,156,0,0,0,0,90,25,37,46,368,89,82,8,2
OTU_14,255,290,87,132,54,3554,0,45,1088,165,44,31,2,6,10,4,2,28,39,0
OTU_140,121,131,8,30,24,52,0,14,31,22,4146,2,2,0,1,6,4,1,0,0
OTU_141,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1597,0,0
OTU_142,8,10,2,41,19,12,0,11,50,23,15,0,0,0,0,1,1,1,1,4
OTU_143,22166,25852,12906,11267,5606,3373,23981,1440,1488,6916,3702,4327,1296,2040,2584,121,2835,24,1171,1273
OTU_144,0,0,0,0,73,92,0,936,193,4,779,0,0,0,0,0,0,0,0,0
OTU_145,3,2,4,4,1,0,0,2,2,2,1,0,0,0,0,1,668,3,0,0
OTU_146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,260,0,0
OTU_147,0,4,4,1,1,6,6,4,3,1,2,6,25,27,86,2,1,1,10,0
OTU_148,1,1,0,2567,1248,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_149,0,0,0,0,0,0,413,0,0,0,0,190,120,164,1492,11,0,0,0,11
OTU_15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1495,90,1
OTU_150,315,383,117,36,9,26,0,0,27,69,50,0,0,0,0,0,0,0,6,0
OTU_151,101,112,128,0,0,9,0,2,3,6,0,0,0,0,0,0,0,0,0,0
OTU_152,2,0,0,0,0,5,0,9,236,0,0,0,0,0,0,0,2,0,0,0
OTU_153,0,0,0,1,0,207,0,8,54,0,12,0,0,0,0,0,1,8,112,4
OTU_154,0,0,0,3,0,1,961,5,1,0,0,140,7,14,71,72,0,0,1,0
OTU_155,0,0,0,0,0,9,8,0,0,0,0,2,0,0,3,4,105,0,57,0
OTU_156,87,115,188,248,307,10,0,40,820,43,54,0,0,0,0,0,2,0,0,0
OTU_157,0,0,0,0,0,0,0,0,0,0,0,0,98,151,0,0,0,0,0,0
OTU_158,38,43,18,0,8,153,163,1,3,8,1,53,20,42,18,140,1843,14,768,236
OTU_159,0,0,0,0,0,2,4,0,0,0,0,2,2,1,2,0,47,0,18,0
OTU_16,0,0,0,0,0,42,59,0,0,0,0,20,6,18,6,21,783,1,242,0
OTU_160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0
OTU_161,3,1,1,0,0,0,0,14,6,32,3,0,0,0,0,0,0,0,0,188
OTU_162,11,22,9,61,27,23,0,0,1,44,101,0,0,0,0,0,0,0,0,0
OTU_163,18,24,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU_164,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_165,6,9,0,0,0,313,0,0,19,0,0,12,0,2,7,0,2,1,8,0
OTU_166,10,6,2,0,0,0,0,0,0,0,0,1,3,12,15,0,0,2,5,1
OTU_167,31,47,2,0,0,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0
OTU_168,3404,3930,1326,490,244,0,0,1,0,773,100,0,0,0,0,0,0,0,0,0
OTU_169,0,0,0,0,0,1,3,0,0,0,0,1,0,3,8,0,1,3,1,5
