#OTU ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,not used, Arthropoda, Malacostraca, Euphausiacea, Euphausiidae, Nematoscelis,difficilis
OTU_10,not used, Ctenophora, Tentaculata, Lobata, Ocyropsidae, Ocyropsis,inerme
OTU_100,not used,Radiozoa, Polycystinea, Collodaria, Sphaerozoidae, Collozoum,no hits
OTU_101,not used, Arthropoda, Malacostraca, Euphausiacea, Euphausiidae, Nematoscelis,no hits
OTU_102,not used, Echinodermata, Echinoidea, Echinoida, Echinometridae, Heliocidaris,no hits
OTU_103,not used, Arthropoda, Maxillopoda, Calanoida, Eucalanidae, Pareucalanus,no hits
OTU_104,not used, Arthropoda, Malacostraca, Euphausiacea, Euphausiidae, Nematoscelis,no hits
OTU_105,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_106,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_107,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_108,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_109,not used, Echinodermata, Ophiuroidea, Ophiuridea, Ophiotrichidae, Ophiothrix,no hits
OTU_11,not used, Arthropoda, Maxillopoda, Calanoida, Scolecitrichidae, Scolecithrix,no hits
OTU_110,not used, Annelida, Polychaeta, Aciculata, Phyllodocidae, Eumida,sanguinea
OTU_111,not used, Arthropoda, Malacostraca, Euphausiacea, Euphausiidae, Nematoscelis,no hits
OTU_112,not used,Dinoflagellata, Dinophyceae, Blastodiniales,Blastodinidae, Blastodinium,no hits
OTU_113,not used, Mollusca, Gastropoda,no hits,no hits,no hits,no hits
OTU_114,not used, Echinodermata, Ophiuroidea, Ophiuridea, Ophiodermatidae, Ophiopsammus,no hits
OTU_115,not used, Chaetognatha, Sagittoidea, Aphragmophora, Sagittidae, Pseudosagitta,no hits
OTU_116,not used, Cnidaria, Hydrozoa, Trachymedusae, Halicreatidae, Halicreas,no hits
OTU_117,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_118,not used, Chordata, Thaliacea, Salpida, Salpidae, Ritteriella,no hits
OTU_119,not used,Dinoflagellata, Dinophyceae, Blastodiniales,Blastodinidae, Blastodinium,no hits
OTU_12,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_120,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_121,not used, Arthropoda, Malacostraca, Euphausiacea, Euphausiidae, Nematoscelis,no hits
OTU_122,not used, Arthropoda, Malacostraca, Euphausiacea, Euphausiidae, Nematoscelis,no hits
OTU_123,not used, Arthropoda, Malacostraca, Euphausiacea, Euphausiidae, Nyctiphanes,no hits
OTU_124,not used, Chordata, Craniata, Neopterygii, Teleostei,Potamalosa ,richmondia
