,CP23_1,CP23_2,CP23,GOC2a,GOC2b,UC10,UC12,UC13,UC14,UC15,UC1,UC2,UC3_1,UC3_2,UC3,UC4,UC5,UC6,UC7,UC9
OTU_1,473,119,558,19705,15349,364,3335,3351,4668,12319,0,1,0,0,0,0,0,1,1,0
OTU_10,4088,2154,3959,249,300,4331,15839,15707,19907,39324,0,0,0,26,0,4,0,58,0,695
OTU_100,410,291,517,82,0,353,23,374,13,132,0,0,0,0,0,0,0,0,0,0
OTU_1000,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1001,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU_1002,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0
OTU_1003,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1004,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1005,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1006,26,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1007,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,1,0
OTU_1008,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1009,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_101,279,69,280,114,358,2,175,112,1586,267,0,0,0,0,0,0,0,0,0,0
OTU_1010,5,0,7,22,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
OTU_1011,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1012,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0
OTU_1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
OTU_1014,0,0,0,54,44,0,8,32,31,65,0,0,0,0,0,0,0,0,0,0
OTU_1015,0,0,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0
OTU_1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0
OTU_1017,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0
OTU_1018,0,0,0,3,16,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
OTU_1019,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,1,17,0,0,0
OTU_102,0,0,2,10,13,0,1,1,5,22,0,0,0,0,0,0,0,0,0,0
OTU_1020,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1021,0,0,0,18,11,1,4,0,29,3,0,0,0,0,0,0,0,0,0,0
OTU_1022,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,4
OTU_1023,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,345,0,0
OTU_1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0
OTU_1025,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
OTU_1026,19,0,5,0,0,0,0,2,10,1,0,0,0,0,0,0,0,0,0,0
OTU_1027,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,19
OTU_1028,0,0,0,0,0,0,0,0,0,0,59,0,4,0,21,0,203,0,0,216
OTU_1029,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_103,17,1,9,25,7,145,95,21,50,114,0,0,0,0,0,0,20,39,4,0
OTU_1030,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0
OTU_1031,0,0,0,0,0,34,0,8,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1032,28,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1033,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
OTU_1034,0,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1035,0,0,0,0,0,0,0,0,0,0,0,0,9,0,25,0,0,0,0,0
OTU_1036,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0
OTU_1037,43,16,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1038,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
OTU_1039,7,1,0,1,6,18,0,0,41,3,0,0,0,1,3,0,0,0,0,13
OTU_104,0,0,1,268,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
OTU_1041,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,20
OTU_1042,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1043,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,5,0,0,13
OTU_1044,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,1
OTU_1045,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,6,0
OTU_1046,0,0,0,6,6,0,8,0,0,18,0,0,0,0,0,0,0,0,0,0
OTU_1047,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0
OTU_1048,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,5
OTU_1049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2
OTU_105,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7216,650,7,12,171
OTU_1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
OTU_1051,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1052,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
OTU_1053,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,11,0,0,0
OTU_1054,0,0,0,0,0,5,23,0,0,1,0,5,0,0,1,0,3,0,0,0
OTU_1055,0,0,0,8,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
OTU_1056,27,1,18,0,0,59,1,0,3,5,0,0,0,0,0,0,0,0,0,0
OTU_1057,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
OTU_1058,1050,1499,1015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0
