,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,not used,Arthropoda,Maxillopoda,Calanoida,Eucalanidae,Subeucalanus,monachus
OTU_10,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_100,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1000,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1001,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1002,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1003,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1004,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1005,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1006,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1007,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1008,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1009,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_101,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1010,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1011,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1012,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1013,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1014,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1015,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1016,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1017,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1018,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1019,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_102,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1020,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1021,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1022,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1023,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1024,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1025,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1026,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1027,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1028,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1029,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_103,not used,no hits,no hits,no hits,no hits,no hits,no hits
OTU_1030,not used,Arthropoda,Maxillopoda,Poecilostomatoida,Sapphirinidae,Copilia,mirabilis
